Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,CumulativeQuantity,Method
0xfdf4f27aa1bf314f08809d422ae8dae5a85b625a90a4870ae3be23623945f114,11778882,1634256264,2021-10-15 00:04:24,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,129527318.198207,298552839699130,Swap Exact ETH For Tokens
0xe7f714c8103507a9a6c385defc17e89c4b796c6c343f9b855d52dd0f9ab64a32,11778882,1634256264,2021-10-15 00:04:24,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,2436105.86010244,298552842135236,Swap
0xe7f714c8103507a9a6c385defc17e89c4b796c6c343f9b855d52dd0f9ab64a32,11778882,1634256264,2021-10-15 00:04:24,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,18127504.369312,298552860262741,Swap
0xe7f714c8103507a9a6c385defc17e89c4b796c6c343f9b855d52dd0f9ab64a32,11778882,1634256264,2021-10-15 00:04:24,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,18918521.6070747,298552879181262,Swap
0xa8831f71a2d1ac7a04109a243f7c3e62cbfc24980282129007ea83fe78d806c9,11778882,1634256264,2021-10-15 00:04:24,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,77712009.5475827,298552956893272,Swap Exact ETH For Tokens
0x0ce6214b2a548dc8113748cc67aad454f274b0a96cba4bbb27c88aa107d52711,11778884,1634256270,2021-10-15 00:04:30,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,10000000,298552966893272,Swap ETH For Exact Tokens
0xc9ce904a6e805ad52c82bfc309124dd7490e4b9c380ed073f42a65673912c9f5,11778886,1634256276,2021-10-15 00:04:36,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,570030203.446512,298553536923475,Swap Exact Tokens For Tokens
0x811ec9aea9a1d43b2bf338edf9e5af488157cad581c9a83098affc0dda212822,11778891,1634256291,2021-10-15 00:04:51,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,19227380.1871229,298553556150855,Swap Exact Tokens For Tokens Supporting Fee On Transfer Tokens
0x3bd372893aa7edc8d65c20b3167fd96afe4bd4bcf075fd31e9c1ea34d4940ca1,11778891,1634256291,2021-10-15 00:04:51,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,365422168.977987,298553921573024,Swap Exact Tokens For Tokens
0xfcae89bcb11fad721a9cdd4fbc0120abf98ff6620609d18ffecb8b804f3138dc,11778898,1634256312,2021-10-15 00:05:12,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,200000000,298554121573024,Swap ETH For Exact Tokens
0x5548ccbc31b622e695ca459e212fbca4ad8f654def485dcabbf7e340875ffbcc,11778899,1634256315,2021-10-15 00:05:15,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,34526600.02,298554156099624,Swap ETH For Exact Tokens
0xab2baafa041a86e7c17820c03e5fba496eb79519d309b106557220c1dd143a92,11778901,1634256321,2021-10-15 00:05:21,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,913406000.2,298555069505625,Swap Tokens For Exact Tokens
0x81abe586e27e15d187137f21f46fc741018639d19d64fbb7f0189e62bf295960,11778904,1634256330,2021-10-15 00:05:30,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,60408600.0002,298555129914225,Swap ETH For Exact Tokens
